uses_wellness_apps,mindfulness_minutes_per_day,sleep_quality,stress_level,sleep_duration_hours,caffeine_intake_mg_per_day,gaming_hours,entertainment_hours,phone_usage_hours,laptop_usage_hours,gender,daily_screen_time_hours,mood_rating,physical_activity_hours_per_week,mental_health_score,weekly_depression_score,social_media_hours,work_related_hours
False,8.9,3.0,9,7.1,209.2,1.6,1.7,3.6,1.9,Female,7.6,1.0,0.1,43.0,17.0,4.5,3.8
False,25.3,4.0,3,7.9,190.6,1.7,2.2,1.0,0.3,Female,2.2,7.0,2.4,76.0,3.0,1.9,2.9
False,6.5,3.0,10,7.1,203.5,1.6,0.8,3.2,0.0,Male,5.3,1.9,0.0,49.0,15.0,4.5,4.2
False,17.6,4.0,8,7.4,129.8,1.0,1.3,2.7,1.6,Male,5.1,1.0,0.0,60.0,11.0,4.5,3.8
True,26.1,4.0,3,7.1,124.0,2.1,1.6,3.2,1.3,Other,3.3,8.2,4.5,71.0,7.0,2.2,2.9
False,16.2,4.0,6,8.2,121.4,1.6,1.1,1.6,3.1,Female,4.3,3.8,0.0,58.0,8.0,3.5,3.5
False,32.4,4.0,2,8.2,209.0,2.5,2.8,1.9,0.1,Female,4.0,8.7,4.3,79.0,2.0,1.3,2.4
True,21.4,3.0,7,7.2,52.9,1.2,2.3,2.0,3.0,Male,8.4,2.8,2.9,61.0,2.0,4.1,3.6
True,41.3,4.0,1,7.6,140.6,3.0,2.2,1.6,0.2,Female,1.8,9.5,5.3,88.0,2.0,1.2,1.6
False,22.5,5.0,7,7.0,101.4,0.1,1.5,2.2,2.5,Female,5.0,2.2,0.4,67.0,9.0,4.1,4.0
False,14.6,3.0,10,7.2,206.2,1.4,0.8,3.4,2.7,Female,9.6,1.0,0.0,57.0,19.0,4.5,3.7
False,14.6,5.0,9,7.4,232.7,0.9,1.9,0.8,1.9,Other,5.9,1.5,0.4,51.0,11.0,4.5,4.0
False,15.4,5.0,3,7.1,164.9,1.6,2.2,1.4,0.6,Male,3.2,8.2,2.5,76.0,5.0,2.1,2.9
True,12.4,5.0,3,8.4,51.7,1.8,2.4,1.3,0.0,Male,1.0,7.4,5.1,75.0,4.0,2.3,3.1
False,22.8,5.0,3,7.4,176.3,1.8,2.7,1.9,0.0,Female,3.0,8.4,3.5,82.0,5.0,2.2,2.9
False,19.2,4.0,7,6.6,58.3,1.7,1.4,1.9,3.5,Female,7.2,2.0,2.3,58.0,14.0,4.1,4.3
True,11.6,4.0,8,7.6,180.1,0.7,1.8,2.7,1.2,Male,6.8,2.8,0.0,54.0,11.0,4.5,4.4
False,19.3,5.0,7,7.3,143.2,1.3,1.8,2.0,0.3,Male,2.9,2.7,0.9,62.0,12.0,4.3,3.8
False,20.8,5.0,1,7.8,229.3,2.9,2.7,2.3,0.2,Male,2.2,10.0,5.8,84.0,3.0,0.4,1.2
True,26.0,5.0,2,8.2,29.5,2.3,2.3,2.4,1.7,Male,3.7,6.6,5.2,89.0,5.0,1.5,2.5
False,13.6,5.0,8,7.9,98.0,0.8,2.0,2.2,1.1,Female,5.6,2.2,2.0,55.0,12.0,4.5,3.8
False,26.5,4.0,4,7.7,66.9,1.7,1.7,2.6,0.0,Female,3.5,5.5,5.5,79.0,6.0,2.7,3.3
False,23.2,4.0,5,6.8,113.9,1.1,1.6,1.9,2.5,Male,4.9,4.0,2.5,65.0,11.0,3.6,3.3
False,9.4,4.0,10,6.7,174.8,0.8,1.3,3.5,1.9,Male,9.1,1.3,1.0,39.0,19.0,4.5,3.7
False,7.0,2.0,10,7.9,34.3,1.5,0.1,4.3,3.5,Male,10.0,1.0,0.8,45.0,15.0,4.5,4.1
False,27.5,3.0,4,7.6,66.3,2.4,1.3,2.6,2.8,Male,7.3,5.4,4.6,73.0,3.0,2.7,3.4
True,16.2,4.0,8,7.3,161.3,1.0,1.4,2.2,0.0,Female,4.6,1.8,1.4,63.0,14.0,4.4,3.8
True,12.6,4.0,4,6.7,179.3,1.2,1.5,2.6,3.1,Other,5.2,5.5,6.1,84.0,7.0,2.6,3.5
False,13.6,4.0,8,6.3,181.4,1.5,1.5,1.0,2.8,Female,6.2,2.4,2.6,60.0,8.0,4.4,3.5
False,26.2,4.0,3,8.1,173.0,2.3,2.2,2.2,0.7,Male,4.3,6.8,3.0,64.0,0.0,2.1,2.9
True,25.4,5.0,6,8.2,146.0,1.6,1.4,1.3,1.0,Female,3.1,3.5,3.4,69.0,12.0,3.7,3.8
False,33.4,4.0,2,7.5,215.2,2.3,2.5,2.5,2.0,Female,4.1,9.0,4.4,76.0,1.0,1.7,2.1
False,12.3,5.0,4,7.3,241.2,2.1,2.4,1.3,0.4,Female,3.4,5.9,2.9,72.0,5.0,2.9,3.5
True,30.0,4.0,4,7.7,9.6,1.6,1.6,1.7,1.2,Male,6.8,6.5,4.5,66.0,1.0,2.8,3.6
True,8.4,4.0,10,6.3,187.3,0.8,0.4,0.3,2.6,Male,7.3,1.0,0.0,46.0,20.0,4.5,4.0
False,14.0,5.0,10,8.3,156.6,0.6,1.1,0.9,2.1,Male,5.7,1.0,0.0,48.0,11.0,4.5,3.8
True,24.7,5.0,1,8.1,133.5,2.7,2.7,2.3,0.8,Male,2.6,8.6,7.6,89.0,2.0,0.8,1.1
False,21.9,4.0,7,6.7,152.1,1.8,2.9,1.2,2.6,Male,5.6,4.3,1.7,60.0,5.0,4.1,3.9
True,14.9,3.0,5,7.3,196.8,1.7,1.3,3.0,1.8,Male,9.0,5.7,4.9,63.0,4.0,3.1,3.5
False,21.5,4.0,4,7.2,131.1,1.4,1.9,1.1,1.8,Female,3.5,4.0,2.2,61.0,6.0,2.6,3.4
True,19.6,3.0,6,6.7,95.2,1.1,1.6,2.4,0.9,Female,5.1,4.5,2.1,53.0,8.0,3.7,4.0
True,27.9,5.0,1,8.0,92.0,3.3,3.0,1.3,1.5,Male,3.6,10.0,3.7,75.0,1.0,1.1,1.4
False,14.9,5.0,7,6.9,171.6,1.3,1.5,2.3,0.6,Male,5.0,3.6,1.3,62.0,4.0,3.5,3.8
True,18.1,5.0,1,7.2,196.2,2.9,3.2,0.6,0.0,Female,1.4,7.9,8.1,91.0,0.0,1.0,1.4
False,13.9,4.0,10,7.6,113.5,1.0,0.7,1.6,1.2,Female,5.5,1.0,2.0,53.0,15.0,4.5,4.0
False,22.2,4.0,4,7.6,76.5,1.4,2.8,1.2,1.4,Female,2.7,6.5,1.6,61.0,3.0,2.4,3.5
False,34.7,4.0,2,7.8,0.0,3.3,2.1,2.8,1.7,Other,5.8,7.2,4.0,74.0,0.0,1.6,2.4
False,18.2,3.0,6,7.1,221.2,1.0,1.2,2.4,2.8,Female,6.3,4.2,4.6,61.0,5.0,3.5,4.2
False,25.9,5.0,2,7.5,81.4,3.0,1.8,0.9,0.8,Other,2.2,9.3,3.0,79.0,3.0,1.5,2.4
False,13.9,4.0,3,6.7,144.4,2.1,3.1,1.8,1.1,Male,2.3,7.5,7.3,81.0,5.0,2.2,3.2
True,6.5,4.0,9,7.6,134.6,0.5,1.5,1.3,2.3,Male,5.4,1.0,1.0,56.0,15.0,4.5,3.7
False,13.4,4.0,8,7.3,142.6,1.2,2.0,2.9,0.7,Male,5.8,3.5,1.3,55.0,7.0,4.4,4.1
False,6.8,4.0,9,7.5,230.4,1.8,1.1,3.1,1.7,Male,8.3,1.0,0.0,66.0,11.0,4.5,3.9
False,24.2,4.0,3,7.9,169.5,2.0,1.9,0.7,1.1,Male,3.9,7.3,3.0,78.0,7.0,2.0,3.1
False,12.1,3.0,7,7.2,191.2,0.9,2.3,2.7,1.2,Female,8.3,1.4,2.0,55.0,10.0,4.1,3.9
False,20.6,5.0,6,7.0,116.9,1.2,1.8,1.3,2.3,Female,4.8,2.8,0.8,60.0,5.0,3.7,3.1
False,17.7,4.0,5,7.1,158.1,0.9,2.5,1.8,1.1,Female,5.5,4.3,4.0,72.0,6.0,3.2,4.0
True,21.3,3.0,2,7.4,112.6,2.2,3.5,2.0,2.4,Male,6.9,8.6,4.9,75.0,3.0,1.4,2.1
False,23.5,4.0,7,7.3,60.2,1.6,1.8,3.6,0.0,Female,5.7,3.4,3.8,59.0,13.0,3.9,3.6
True,30.0,4.0,1,8.4,149.4,2.6,3.1,1.1,0.0,Female,2.7,8.8,6.0,82.0,1.0,0.9,1.2
False,13.6,4.0,4,8.2,78.5,1.2,0.9,2.8,0.0,Male,3.5,7.0,2.8,71.0,3.0,2.4,3.2
True,34.6,5.0,2,7.4,48.7,2.3,2.7,0.9,0.2,Female,3.9,8.0,3.5,81.0,2.0,1.6,2.2
False,13.6,3.0,10,7.0,148.1,1.1,0.6,0.9,3.5,Male,8.2,1.0,0.0,36.0,12.0,4.5,4.0
False,20.0,4.0,8,6.8,175.8,1.0,1.6,2.0,1.5,Male,5.7,3.3,2.9,55.0,9.0,4.3,4.0
True,5.1,3.0,10,7.2,230.2,1.7,0.8,2.0,0.7,Female,5.6,1.0,0.8,53.0,13.0,4.5,3.9
False,27.7,4.0,4,7.9,155.6,2.7,1.7,0.2,2.4,Male,4.1,5.3,3.1,82.0,3.0,2.6,3.4
False,15.2,3.0,9,7.1,249.5,1.2,1.9,3.0,2.5,Male,5.3,1.0,0.0,49.0,16.0,4.5,3.9
True,10.9,4.0,7,7.5,207.4,1.6,1.7,0.2,0.2,Female,2.6,3.0,0.9,59.0,9.0,4.1,3.8
False,17.8,5.0,6,6.7,184.4,1.3,1.1,1.9,4.2,Female,5.5,5.4,1.0,63.0,4.0,4.0,3.9
False,24.1,5.0,2,7.0,171.8,1.7,2.6,3.2,1.8,Male,5.5,8.4,4.1,87.0,4.0,1.2,2.7
False,11.0,4.0,6,7.6,77.2,0.4,1.4,4.0,1.9,Male,6.0,4.4,4.8,64.0,2.0,4.0,3.9
True,35.6,4.0,3,7.2,115.3,1.9,2.5,1.7,2.0,Male,5.1,8.0,4.9,82.0,8.0,2.2,3.5
True,29.7,4.0,3,6.8,249.4,1.7,1.9,0.7,2.0,Female,4.5,8.6,3.7,81.0,7.0,2.2,2.4
False,9.9,4.0,7,7.4,202.4,0.7,1.9,3.2,0.8,Male,5.5,3.5,1.0,64.0,13.0,3.9,3.8
False,10.6,3.0,10,7.0,92.6,0.5,1.0,2.8,3.8,Male,8.2,1.0,0.0,45.0,12.0,4.5,3.8
True,14.3,5.0,8,7.8,138.3,1.8,1.8,1.6,1.2,Female,6.2,2.0,2.3,61.0,14.0,4.5,4.2
False,11.9,3.0,9,6.9,171.8,1.8,0.8,1.4,2.6,Female,7.8,1.4,0.0,56.0,13.0,4.5,4.1
False,24.0,4.0,3,7.1,72.5,2.3,1.9,1.4,1.0,Male,3.6,8.0,2.5,76.0,7.0,2.1,3.0
True,7.5,4.0,8,7.8,189.0,0.7,1.8,1.7,0.8,Female,5.4,1.5,0.0,45.0,13.0,4.5,4.1
True,18.5,3.0,7,6.7,169.7,1.3,1.4,2.3,3.6,Female,6.9,3.0,6.7,65.0,6.0,4.1,4.2
True,21.6,3.0,7,6.6,144.7,1.2,2.0,1.5,1.4,Male,6.0,2.4,4.7,58.0,2.0,3.6,3.7
True,33.7,5.0,2,7.0,157.8,2.7,2.5,1.6,1.5,Male,4.0,8.7,5.1,84.0,3.0,1.8,2.2
False,11.5,4.0,7,7.1,128.2,0.9,2.2,2.6,1.8,Female,4.7,2.9,2.0,61.0,12.0,4.3,3.8
False,22.6,5.0,2,6.4,247.0,1.8,2.0,0.7,4.4,Male,5.6,8.4,5.8,78.0,5.0,1.4,2.4
True,30.8,4.0,3,6.3,201.3,2.0,2.7,1.7,3.9,Female,6.8,5.0,3.5,78.0,2.0,2.1,3.1
False,13.8,4.0,9,7.8,153.8,1.0,1.2,0.5,2.9,Male,4.8,1.0,0.2,51.0,10.0,4.5,4.0
False,25.5,5.0,5,7.1,171.2,1.5,1.5,2.1,4.6,Male,6.5,5.8,3.5,70.0,4.0,3.6,3.7
False,34.4,5.0,2,7.6,22.8,2.0,2.5,0.3,0.5,Male,2.6,7.2,3.8,79.0,4.0,1.5,2.5
True,25.6,4.0,6,6.8,125.2,1.1,1.8,2.8,2.2,Male,8.7,3.0,4.3,66.0,7.0,3.8,3.9
False,17.4,4.0,1,7.9,119.8,2.9,1.8,0.8,1.6,Male,3.3,8.1,6.1,85.0,0.0,1.1,1.2
True,19.8,5.0,1,7.5,13.8,2.7,2.5,0.4,0.0,Male,1.0,9.2,6.1,89.0,2.0,1.0,1.4
False,29.4,5.0,5,7.7,183.5,1.7,0.8,1.7,2.0,Female,4.2,4.5,2.3,68.0,7.0,3.3,3.6
False,14.0,4.0,10,7.1,183.8,0.5,0.8,3.5,1.0,Other,7.7,1.0,1.2,52.0,10.0,4.5,4.0
False,10.4,3.0,10,6.6,84.2,1.5,0.8,2.6,3.2,Female,7.0,1.0,0.2,51.0,15.0,4.5,4.4
False,26.5,5.0,3,7.8,47.2,1.7,2.4,0.3,1.1,Female,3.9,7.7,8.4,90.0,1.0,2.4,2.8
False,18.9,5.0,1,7.9,118.9,2.9,3.1,0.8,1.0,Male,1.2,8.6,5.0,80.0,0.0,0.8,1.3
False,14.1,4.0,6,6.6,82.5,1.3,1.4,1.6,3.2,Other,7.2,3.7,2.8,60.0,12.0,3.6,3.8
False,12.3,4.0,8,6.9,141.7,0.6,0.9,4.0,1.4,Male,4.9,1.2,0.0,48.0,14.0,4.5,4.2
True,23.3,5.0,1,7.8,116.5,2.3,2.6,1.2,2.8,Female,3.6,9.4,3.9,81.0,4.0,1.1,1.8
False,27.8,4.0,4,8.0,108.2,1.5,1.0,1.2,2.0,Other,4.1,7.8,1.9,73.0,9.0,3.0,3.6
False,29.0,4.0,5,7.3,109.4,1.6,0.7,3.4,2.0,Female,7.0,5.6,2.0,57.0,6.0,3.2,3.7
False,12.4,3.0,10,7.7,128.6,1.5,0.6,2.2,1.2,Other,6.4,1.0,0.1,42.0,13.0,4.5,4.1
False,32.8,5.0,3,8.0,162.9,2.4,1.4,2.9,2.1,Female,4.7,8.0,4.3,73.0,7.0,2.1,2.9
False,11.9,4.0,10,7.2,67.0,1.3,0.4,1.3,1.4,Male,5.8,1.0,0.0,48.0,16.0,4.5,4.1
False,16.5,5.0,1,7.7,86.9,3.0,2.8,1.9,0.6,Male,2.8,8.8,4.0,88.0,0.0,0.9,1.5
False,12.5,3.0,9,7.4,120.9,0.9,1.0,3.2,1.4,Female,7.5,1.0,1.3,46.0,13.0,4.5,4.3
True,10.7,3.0,9,6.2,192.7,0.7,1.6,1.9,2.9,Male,9.4,1.5,1.5,56.0,12.0,4.5,3.9
False,15.4,4.0,8,7.5,103.9,1.1,1.9,3.0,2.1,Female,7.6,2.0,0.9,64.0,14.0,4.5,4.1
True,12.0,3.0,10,7.6,242.6,1.9,0.9,2.3,2.3,Other,9.1,1.0,0.8,52.0,11.0,4.5,3.7
True,35.1,3.0,3,7.3,159.9,2.0,1.9,1.1,1.5,Male,3.1,7.2,5.7,73.0,2.0,2.1,2.9
False,8.7,4.0,8,8.8,126.4,1.1,1.7,2.0,0.0,Female,5.1,3.8,2.0,48.0,9.0,4.4,3.9
True,25.3,5.0,6,7.8,185.7,1.4,2.2,2.9,0.2,Female,4.5,4.0,2.0,67.0,11.0,3.8,4.1
True,16.6,4.0,8,7.2,154.8,1.0,1.8,2.6,1.2,Female,6.1,2.2,2.8,62.0,7.0,4.5,3.4
False,26.5,4.0,2,6.6,197.1,2.8,2.4,2.0,0.3,Other,3.2,9.8,3.0,77.0,4.0,1.7,2.7
False,25.4,5.0,1,7.6,60.7,2.4,2.6,0.3,0.9,Female,2.7,10.0,4.9,93.0,3.0,0.9,1.0
True,26.8,5.0,4,7.7,128.5,2.7,1.7,0.4,0.9,Other,3.8,6.9,3.4,60.0,6.0,2.8,3.4
False,20.1,5.0,3,7.8,155.4,1.9,2.1,0.6,0.9,Female,3.2,8.8,8.8,85.0,6.0,2.1,3.4
False,29.1,4.0,3,6.7,170.9,2.6,2.2,1.5,3.1,Male,5.3,6.1,5.3,82.0,3.0,2.3,2.5
True,32.2,4.0,2,7.1,196.7,3.2,1.8,1.7,1.4,Male,4.7,10.0,4.0,83.0,2.0,1.9,2.1
True,17.7,5.0,2,7.9,244.2,1.9,3.0,0.7,2.5,Female,3.4,9.0,2.6,75.0,2.0,1.4,2.5
True,11.2,3.0,8,7.3,228.7,1.0,1.6,2.9,1.7,Male,8.4,3.3,0.6,51.0,10.0,4.5,3.6
True,16.2,4.0,4,7.8,147.6,2.1,2.1,0.9,3.1,Female,5.4,6.7,4.0,78.0,10.0,3.0,3.9
False,26.2,5.0,5,7.6,173.0,1.7,0.5,0.8,2.6,Female,3.9,4.2,3.7,70.0,10.0,3.1,3.6
True,17.5,5.0,1,7.7,60.9,2.6,1.9,2.1,0.8,Male,2.8,7.2,4.5,86.0,0.0,0.9,1.3
False,5.7,4.0,10,7.1,104.6,1.3,1.3,2.9,3.7,Female,9.1,1.0,1.3,47.0,12.0,4.5,4.0
True,15.7,4.0,5,7.2,155.6,0.8,1.5,3.8,1.0,Female,6.3,4.4,3.5,63.0,4.0,3.1,3.6
True,12.0,5.0,8,6.7,180.4,1.2,1.4,2.5,1.7,Female,4.6,1.3,0.9,61.0,10.0,4.5,4.2
False,9.3,4.0,10,7.7,112.4,1.2,0.6,3.4,1.9,Male,7.9,1.0,0.1,46.0,10.0,4.5,3.7
False,11.8,3.0,10,7.8,152.8,1.1,0.8,0.9,2.0,Male,5.3,1.0,0.0,45.0,12.0,4.5,3.9
False,10.0,3.0,9,7.3,155.7,0.8,2.2,3.9,2.4,Male,7.3,1.0,2.2,52.0,15.0,4.5,4.0
False,38.4,5.0,1,7.0,165.2,2.7,1.5,0.3,0.7,Female,2.6,7.5,3.8,80.0,0.0,0.6,1.2
False,15.7,4.0,9,7.8,123.8,0.6,0.8,1.5,2.3,Male,5.3,1.0,0.0,44.0,9.0,4.5,3.6
True,25.0,5.0,1,7.3,257.1,2.9,2.2,2.5,2.1,Female,4.0,8.2,5.6,85.0,1.0,0.7,1.4
False,24.7,5.0,6,8.0,124.5,1.4,2.0,0.6,1.5,Male,3.2,3.9,0.0,61.0,11.0,3.5,3.7
True,30.4,5.0,3,7.8,178.0,2.1,2.6,1.2,1.3,Male,3.6,7.5,6.4,77.0,1.0,2.4,2.9
False,22.7,4.0,6,7.2,151.4,0.8,1.4,1.0,0.6,Female,5.4,5.8,2.5,63.0,8.0,3.9,4.2
True,25.3,3.0,5,8.1,196.2,1.8,1.8,1.7,2.0,Female,3.6,3.6,3.7,73.0,6.0,3.1,3.8
False,19.2,4.0,2,6.8,173.3,2.0,2.2,3.3,0.8,Male,4.3,9.2,4.3,67.0,0.0,1.4,2.2
False,12.3,3.0,5,7.3,203.4,1.0,2.0,2.0,1.8,Male,5.8,4.6,2.2,52.0,11.0,3.5,3.6
True,29.6,4.0,2,8.4,124.0,3.7,2.6,1.6,1.4,Male,3.5,5.9,4.3,81.0,3.0,1.1,2.2
True,28.1,3.0,2,8.1,127.9,2.5,2.4,0.2,0.0,Female,1.4,7.0,7.5,79.0,6.0,1.3,2.2
True,25.6,4.0,4,7.8,83.5,1.2,0.7,2.4,0.5,Female,5.3,6.7,3.1,67.0,6.0,2.9,3.2
False,19.5,4.0,5,7.3,192.4,1.6,1.3,2.7,1.9,Male,6.0,5.1,1.9,71.0,8.0,3.1,3.6
True,13.4,5.0,4,7.5,91.2,1.8,1.5,0.5,0.9,Male,3.7,4.1,3.4,76.0,0.0,2.7,3.2
False,26.2,5.0,5,7.1,73.7,1.2,1.4,1.9,0.9,Male,2.7,5.3,2.3,66.0,9.0,2.9,3.4
True,41.1,5.0,1,7.5,154.8,2.9,2.6,2.2,0.7,Female,3.5,7.9,4.9,86.0,1.0,0.9,0.9
True,19.8,4.0,7,7.7,110.9,1.1,1.5,2.9,0.7,Other,4.6,2.4,0.0,51.0,11.0,4.0,3.9
True,14.4,5.0,7,6.8,151.1,0.6,1.5,1.3,3.3,Male,5.2,2.7,2.9,57.0,13.0,4.2,3.9
False,17.5,5.0,8,7.1,158.2,1.1,2.0,1.2,0.3,Female,3.6,2.1,0.0,56.0,10.0,4.5,3.8
False,8.2,4.0,9,7.4,145.9,0.9,0.6,1.6,3.1,Male,6.4,1.7,0.8,51.0,10.0,4.5,4.1
True,26.8,4.0,6,7.7,119.7,1.2,1.1,3.2,1.1,Male,6.4,4.3,3.1,65.0,12.0,3.9,3.4
True,26.5,4.0,4,8.3,73.8,1.7,1.5,2.9,0.8,Female,5.7,7.0,4.6,68.0,3.0,2.8,3.0
False,28.2,5.0,3,7.1,202.8,1.9,1.7,2.0,1.9,Female,5.5,7.4,3.5,76.0,6.0,2.3,3.0
False,12.7,3.0,8,6.8,154.4,1.2,1.8,2.9,1.6,Female,8.3,2.2,1.6,55.0,6.0,4.2,4.0
False,28.3,5.0,4,8.0,186.2,1.8,1.3,0.2,1.3,Female,3.5,5.6,1.7,70.0,7.0,2.8,3.3
False,20.8,3.0,7,7.5,132.1,0.6,1.4,2.7,1.7,Male,6.3,2.3,0.0,48.0,9.0,4.0,4.0
False,20.0,4.0,6,7.3,118.5,1.4,1.8,1.0,1.5,Female,4.6,5.2,1.1,55.0,8.0,3.8,3.9
False,20.7,4.0,8,7.2,45.2,1.3,1.9,3.6,1.3,Male,6.4,1.4,1.1,64.0,9.0,4.4,4.3
False,16.5,3.0,7,7.0,89.5,0.1,1.6,1.0,2.5,Female,5.7,4.8,0.0,45.0,8.0,4.3,3.7
False,12.2,4.0,8,7.1,136.0,0.0,1.6,1.2,0.0,Male,2.4,3.0,0.9,59.0,10.0,4.1,3.8
False,18.9,5.0,1,7.5,193.4,2.7,2.3,2.5,0.5,Female,3.4,10.0,5.8,83.0,0.0,1.0,1.3
True,28.8,5.0,1,8.3,96.6,2.6,3.0,2.6,0.6,Male,3.9,8.3,6.6,86.0,0.0,1.0,1.4
False,15.8,5.0,3,7.3,61.4,2.3,2.1,1.6,0.3,Male,3.0,8.0,4.0,72.0,2.0,2.2,2.6
False,23.3,5.0,4,6.8,121.2,1.4,1.9,2.3,1.6,Female,3.8,7.9,2.4,61.0,3.0,2.8,3.4
False,12.1,5.0,9,7.0,139.8,1.1,1.3,2.4,2.1,Male,4.2,2.1,0.0,54.0,12.0,4.5,4.0
True,32.1,5.0,2,7.8,134.7,2.7,2.4,2.4,0.0,Female,3.5,10.0,4.9,78.0,5.0,1.8,2.2
True,32.1,4.0,4,8.0,147.8,1.9,0.9,1.6,1.0,Male,1.9,6.5,6.5,77.0,10.0,3.1,3.8
True,22.1,4.0,4,8.1,119.1,1.4,1.2,2.5,1.1,Male,4.0,7.4,4.7,76.0,3.0,2.7,3.4
False,11.8,4.0,8,7.6,67.7,1.0,1.5,3.3,1.2,Male,7.4,2.6,1.3,62.0,13.0,4.5,3.8
True,14.4,4.0,2,7.9,12.0,2.2,1.8,0.9,0.1,Male,2.4,6.6,3.6,79.0,6.0,1.5,2.6
False,12.6,5.0,5,7.9,174.2,1.5,1.1,1.2,1.2,Female,3.4,6.2,3.7,73.0,6.0,3.3,3.6
False,16.4,4.0,5,7.1,213.0,1.6,1.5,2.0,0.5,Male,4.3,4.3,3.3,67.0,11.0,3.2,3.6
False,25.6,5.0,2,8.1,83.2,2.9,1.9,1.0,1.1,Female,1.9,6.6,3.9,68.0,4.0,1.7,2.3
True,11.2,4.0,5,7.6,76.0,1.3,1.8,0.4,0.0,Female,2.8,4.7,3.5,73.0,4.0,3.3,3.9
True,31.9,5.0,3,7.8,190.6,2.5,2.8,3.0,1.1,Male,5.0,7.4,3.1,73.0,2.0,2.1,2.9
True,15.9,4.0,3,7.6,82.1,2.5,2.1,0.2,0.7,Female,4.8,6.5,3.9,64.0,7.0,2.1,2.8
False,10.1,4.0,9,7.3,152.0,1.0,1.1,1.6,1.2,Female,4.1,2.2,0.0,49.0,7.0,4.5,3.7
True,11.0,4.0,8,6.7,136.4,0.8,1.9,2.7,1.8,Female,5.4,1.1,0.6,46.0,11.0,4.3,3.9
False,37.3,4.0,2,7.4,0.0,2.4,2.7,2.2,1.5,Male,2.9,8.4,4.1,78.0,1.0,1.4,2.4
False,14.8,4.0,8,7.5,116.0,1.3,1.4,1.7,2.4,Male,4.7,1.9,0.8,57.0,9.0,4.5,3.9
False,14.4,4.0,4,7.2,119.9,1.8,1.5,1.0,1.1,Female,3.4,5.9,5.2,72.0,9.0,3.0,3.3
False,9.3,3.0,8,6.8,114.3,0.6,1.4,2.3,2.2,Female,8.6,2.5,1.3,55.0,12.0,4.3,3.8
True,42.0,4.0,1,8.1,157.6,2.7,3.0,1.1,2.7,Female,3.7,9.8,5.3,83.0,0.0,0.7,1.6
True,27.6,4.0,1,7.9,109.2,2.3,2.2,2.2,1.8,Male,5.0,9.3,4.7,90.0,0.0,0.9,1.1
False,19.4,4.0,6,7.7,182.3,1.1,1.7,2.1,1.5,Female,4.4,4.9,1.5,63.0,5.0,3.9,3.4
