user_id,age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,total_tech_usage,usage_category
13,25,Male,3.6,1.0,2.1,0.0,0.3,3.3,3.9,1.6,1.7,8.3,5.0,5.2,5,5.9,Urban,67.0,True,False,176.7,5.0,9.0,22.1,3.1,Active/High-Intensity Usage
14,38,Male,1.0,1.0,0.0,0.0,1.0,2.4,2.9,2.4,1.6,8.7,5.0,7.6,3,4.9,Suburban,83.0,True,False,133.5,4.0,2.0,22.7,1.0,Passive Usage
15,67,Male,7.2,1.7,2.3,1.1,2.9,3.9,4.1,1.9,0.9,7.3,3.0,4.6,7,0.0,Suburban,57.0,False,True,162.2,6.0,6.0,17.0,4.0,Passive Usage
16,50,Male,4.4,2.5,0.9,1.0,1.0,2.3,3.0,1.8,1.6,7.0,4.0,8.5,3,4.1,Suburban,74.0,True,False,141.6,4.0,3.0,34.5,3.4,Active/High-Intensity Usage
17,54,Male,3.7,2.6,0.2,1.5,0.7,4.5,4.0,2.3,0.5,7.6,4.0,1.0,9,0.0,Urban,41.0,False,False,120.3,17.0,8.0,6.8,2.8000000000000003,Passive Usage
18,38,Female,5.8,2.1,1.9,1.0,2.1,3.8,3.8,1.9,1.6,6.2,4.0,3.7,6,4.6,Suburban,58.0,True,True,183.4,9.0,11.0,13.0,4.0,Passive Usage
19,17,Male,3.2,1.2,0.0,0.5,1.1,4.5,4.1,1.1,1.0,7.3,4.0,1.0,10,0.0,Suburban,43.0,False,False,130.3,18.0,15.0,9.9,1.2,Passive Usage
20,36,Female,7.6,3.6,1.9,0.9,2.0,4.5,3.8,1.7,1.6,7.1,3.0,1.0,9,0.1,Suburban,43.0,False,False,209.2,9.0,17.0,8.9,5.5,Passive Usage
21,67,Female,2.2,1.0,0.3,0.6,1.4,1.9,2.9,2.2,1.7,7.9,4.0,7.0,3,2.4,Rural,76.0,False,True,190.6,5.0,3.0,25.3,1.3,Active/High-Intensity Usage
22,16,Male,5.3,3.2,0.0,0.4,0.6,4.5,4.2,0.8,1.6,7.1,3.0,1.9,10,0.0,Rural,49.0,False,True,203.5,20.0,15.0,6.5,3.2,Active/High-Intensity Usage
23,38,Male,5.1,2.7,1.6,0.3,0.7,4.5,3.8,1.3,1.0,7.4,4.0,1.0,8,0.0,Rural,60.0,False,False,129.8,11.0,11.0,17.6,4.300000000000001,Passive Usage
24,58,Other,3.3,3.2,1.3,0.0,0.0,2.2,2.9,1.6,2.1,7.1,4.0,8.2,3,4.5,Suburban,71.0,True,True,124.0,6.0,7.0,26.1,4.5,Active/High-Intensity Usage
25,44,Female,4.3,1.6,3.1,0.2,0.3,3.5,3.5,1.1,1.6,8.2,4.0,3.8,6,0.0,Suburban,58.0,False,True,121.4,7.0,8.0,16.2,4.7,Active/High-Intensity Usage
26,52,Female,4.0,1.9,0.1,0.6,2.0,1.3,2.4,2.8,2.5,8.2,4.0,8.7,2,4.3,Rural,79.0,False,True,209.0,5.0,2.0,32.4,2.0,Active/High-Intensity Usage
27,16,Male,8.4,2.0,3.0,0.0,2.6,4.1,3.6,2.3,1.2,7.2,3.0,2.8,7,2.9,Rural,61.0,True,False,52.9,16.0,2.0,21.4,5.0,Passive Usage
28,74,Female,1.8,1.6,0.2,0.3,0.8,1.2,1.6,2.2,3.0,7.6,4.0,9.5,1,5.3,Rural,88.0,True,True,140.6,0.0,2.0,41.3,1.8,Active/High-Intensity Usage
29,35,Female,5.0,2.2,2.5,1.2,0.0,4.1,4.0,1.5,0.1,7.0,5.0,2.2,7,0.4,Suburban,67.0,False,True,101.4,17.0,9.0,22.5,4.7,Passive Usage
30,47,Female,9.6,3.4,2.7,1.4,2.5,4.5,3.7,0.8,1.4,7.2,3.0,1.0,10,0.0,Rural,57.0,False,False,206.2,15.0,19.0,14.6,6.1,Passive Usage
31,26,Other,5.9,0.8,1.9,0.3,2.6,4.5,4.0,1.9,0.9,7.4,5.0,1.5,9,0.4,Urban,51.0,False,False,232.7,16.0,11.0,14.6,2.7,Passive Usage
32,72,Male,3.2,1.4,0.6,0.3,2.1,2.1,2.9,2.2,1.6,7.1,5.0,8.2,3,2.5,Rural,76.0,False,False,164.9,9.0,5.0,15.4,2.0,Active/High-Intensity Usage
33,36,Male,1.0,1.3,0.0,0.2,0.0,2.3,3.1,2.4,1.8,8.4,5.0,7.4,3,5.1,Urban,75.0,True,True,51.7,2.0,4.0,12.4,1.3,Active/High-Intensity Usage
34,58,Female,3.0,1.9,0.0,0.3,1.9,2.2,2.9,2.7,1.8,7.4,5.0,8.4,3,3.5,Urban,82.0,False,True,176.3,2.0,5.0,22.8,1.9,Passive Usage
35,39,Female,7.2,1.9,3.5,1.3,2.0,4.1,4.3,1.4,1.7,6.6,4.0,2.0,7,2.3,Suburban,58.0,False,False,58.3,11.0,14.0,19.2,5.4,Active/High-Intensity Usage
36,63,Male,6.8,2.7,1.2,1.6,2.3,4.5,4.4,1.8,0.7,7.6,4.0,2.8,8,0.0,Suburban,54.0,True,False,180.1,11.0,11.0,11.6,3.9000000000000004,Passive Usage
37,41,Male,2.9,2.0,0.3,0.0,1.6,4.3,3.8,1.8,1.3,7.3,5.0,2.7,7,0.9,Urban,62.0,False,False,143.2,9.0,12.0,19.3,2.3,Passive Usage
38,73,Male,2.2,2.3,0.2,0.1,0.6,0.4,1.2,2.7,2.9,7.8,5.0,10.0,1,5.8,Urban,84.0,False,True,229.3,3.0,3.0,20.8,2.5,Active/High-Intensity Usage
39,56,Male,3.7,2.4,1.7,0.0,1.0,1.5,2.5,2.3,2.3,8.2,5.0,6.6,2,5.2,Urban,89.0,True,False,29.5,5.0,5.0,26.0,4.1,Active/High-Intensity Usage
40,42,Female,5.6,2.2,1.1,0.6,2.6,4.5,3.8,2.0,0.8,7.9,5.0,2.2,8,2.0,Rural,55.0,False,False,98.0,8.0,12.0,13.6,3.3000000000000003,Passive Usage
41,74,Female,3.5,2.6,0.0,0.3,1.8,2.7,3.3,1.7,1.7,7.7,4.0,5.5,4,5.5,Suburban,79.0,False,True,66.9,6.0,6.0,26.5,2.6,Active/High-Intensity Usage
42,30,Male,4.9,1.9,2.5,0.8,0.1,3.6,3.3,1.6,1.1,6.8,4.0,4.0,5,2.5,Urban,65.0,False,False,113.9,5.0,11.0,23.2,4.4,Passive Usage
43,29,Male,9.1,3.5,1.9,1.0,3.1,4.5,3.7,1.3,0.8,6.7,4.0,1.3,10,1.0,Urban,39.0,False,True,174.8,16.0,19.0,9.4,5.4,Passive Usage
44,61,Male,10.0,4.3,3.5,0.9,2.6,4.5,4.1,0.1,1.5,7.9,2.0,1.0,10,0.8,Urban,45.0,False,True,34.3,13.0,15.0,7.0,7.8,Active/High-Intensity Usage
45,65,Male,7.3,2.6,2.8,0.0,3.1,2.7,3.4,1.3,2.4,7.6,3.0,5.4,4,4.6,Urban,73.0,False,False,66.3,10.0,3.0,27.5,5.4,Active/High-Intensity Usage
46,58,Female,4.6,2.2,0.0,0.6,2.5,4.4,3.8,1.4,1.0,7.3,4.0,1.8,8,1.4,Suburban,63.0,True,True,161.3,15.0,14.0,16.2,2.2,Passive Usage
47,69,Other,5.2,2.6,3.1,0.0,0.5,2.6,3.5,1.5,1.2,6.7,4.0,5.5,4,6.1,Urban,84.0,True,False,179.3,4.0,7.0,12.6,5.7,Active/High-Intensity Usage
48,66,Female,6.2,1.0,2.8,1.6,1.7,4.4,3.5,1.5,1.5,6.3,4.0,2.4,8,2.6,Urban,60.0,False,True,181.4,9.0,8.0,13.6,3.8,Passive Usage
49,71,Male,4.3,2.2,0.7,0.4,2.0,2.1,2.9,2.2,2.3,8.1,4.0,6.8,3,3.0,Suburban,64.0,False,True,173.0,0.0,0.0,26.2,2.9000000000000004,Active/High-Intensity Usage
50,17,Female,3.1,1.3,1.0,0.0,0.1,3.7,3.8,1.4,1.6,8.2,5.0,3.5,6,3.4,Urban,69.0,True,True,146.0,10.0,12.0,25.4,2.3,Active/High-Intensity Usage
51,51,Female,4.1,2.5,2.0,0.3,0.2,1.7,2.1,2.5,2.3,7.5,4.0,9.0,2,4.4,Urban,76.0,False,False,215.2,5.0,1.0,33.4,4.5,Active/High-Intensity Usage
52,65,Female,3.4,1.3,0.4,0.7,2.1,2.9,3.5,2.4,2.1,7.3,5.0,5.9,4,2.9,Urban,72.0,False,False,241.2,9.0,5.0,12.3,1.7000000000000002,Active/High-Intensity Usage
53,21,Male,6.8,1.7,1.2,1.0,2.2,2.8,3.6,1.6,1.6,7.7,4.0,6.5,4,4.5,Suburban,66.0,True,True,9.6,8.0,1.0,30.0,2.9,Active/High-Intensity Usage
54,35,Male,7.3,0.3,2.6,1.4,3.8,4.5,4.0,0.4,0.8,6.3,4.0,1.0,10,0.0,Suburban,46.0,True,False,187.3,15.0,20.0,8.4,2.9,Passive Usage
55,23,Male,5.7,0.9,2.1,0.6,1.1,4.5,3.8,1.1,0.6,8.3,5.0,1.0,10,0.0,Urban,48.0,False,False,156.6,18.0,11.0,14.0,3.0,Passive Usage
56,53,Male,2.6,2.3,0.8,0.4,0.0,0.8,1.1,2.7,2.7,8.1,5.0,8.6,1,7.6,Suburban,89.0,True,False,133.5,1.0,2.0,24.7,3.0999999999999996,Active/High-Intensity Usage
57,32,Male,5.6,1.2,2.6,1.0,1.2,4.1,3.9,2.9,1.8,6.7,4.0,4.3,7,1.7,Suburban,60.0,False,False,152.1,10.0,5.0,21.9,3.8,Passive Usage
58,18,Male,9.0,3.0,1.8,1.0,2.2,3.1,3.5,1.3,1.7,7.3,3.0,5.7,5,4.9,Urban,63.0,True,False,196.8,8.0,4.0,14.9,4.8,Active/High-Intensity Usage
59,39,Female,3.5,1.1,1.8,0.7,1.0,2.6,3.4,1.9,1.4,7.2,4.0,4.0,4,2.2,Suburban,61.0,False,True,131.1,8.0,6.0,21.5,2.9000000000000004,Active/High-Intensity Usage
60,74,Female,5.1,2.4,0.9,1.1,1.5,3.7,4.0,1.6,1.1,6.7,3.0,4.5,6,2.1,Urban,53.0,True,False,95.2,6.0,8.0,19.6,3.3,Passive Usage
61,28,Male,3.6,1.3,1.5,0.2,0.8,1.1,1.4,3.0,3.3,8.0,5.0,10.0,1,3.7,Suburban,75.0,True,False,92.0,3.0,1.0,27.9,2.8,Active/High-Intensity Usage
62,64,Male,5.0,2.3,0.6,0.6,2.6,3.5,3.8,1.5,1.3,6.9,5.0,3.6,7,1.3,Urban,62.0,False,True,171.6,8.0,4.0,14.9,2.9,Active/High-Intensity Usage
63,72,Female,1.4,0.6,0.0,0.0,2.1,1.0,1.4,3.2,2.9,7.2,5.0,7.9,1,8.1,Urban,91.0,True,True,196.2,4.0,0.0,18.1,0.6,Active/High-Intensity Usage
64,23,Female,5.5,1.6,1.2,1.4,0.6,4.5,4.0,0.7,1.0,7.6,4.0,1.0,10,2.0,Rural,53.0,False,True,113.5,14.0,15.0,13.9,2.8,Passive Usage
65,40,Female,2.7,1.2,1.4,0.3,0.9,2.4,3.5,2.8,1.4,7.6,4.0,6.5,4,1.6,Urban,61.0,False,False,76.5,6.0,3.0,22.2,2.5999999999999996,Passive Usage
66,67,Other,5.8,2.8,1.7,1.4,0.7,1.6,2.4,2.1,3.3,7.8,4.0,7.2,2,4.0,Suburban,74.0,False,False,0.0,8.0,0.0,34.7,4.5,Active/High-Intensity Usage
67,16,Female,6.3,2.4,2.8,0.2,0.0,3.5,4.2,1.2,1.0,7.1,3.0,4.2,6,4.6,Urban,61.0,False,True,221.2,10.0,5.0,18.2,5.199999999999999,Active/High-Intensity Usage
68,34,Other,2.2,0.9,0.8,0.8,0.6,1.5,2.4,1.8,3.0,7.5,5.0,9.3,2,3.0,Suburban,79.0,False,False,81.4,6.0,3.0,25.9,1.7000000000000002,Active/High-Intensity Usage
69,42,Male,2.3,1.8,1.1,0.6,0.0,2.2,3.2,3.1,2.1,6.7,4.0,7.5,3,7.3,Suburban,81.0,False,False,144.4,3.0,5.0,13.9,2.9000000000000004,Balanced
70,61,Male,5.4,1.3,2.3,0.2,2.3,4.5,3.7,1.5,0.5,7.6,4.0,1.0,9,1.0,Rural,56.0,True,False,134.6,11.0,15.0,6.5,3.5999999999999996,Passive Usage
71,74,Male,5.8,2.9,0.7,0.9,2.4,4.4,4.1,2.0,1.2,7.3,4.0,3.5,8,1.3,Urban,55.0,False,False,142.6,12.0,7.0,13.4,3.5999999999999996,Passive Usage
72,21,Male,8.3,3.1,1.7,1.4,1.1,4.5,3.9,1.1,1.8,7.5,4.0,1.0,9,0.0,Urban,66.0,False,False,230.4,12.0,11.0,6.8,4.8,Active/High-Intensity Usage
73,58,Male,3.9,0.7,1.1,1.7,1.6,2.0,3.1,1.9,2.0,7.9,4.0,7.3,3,3.0,Rural,78.0,False,False,169.5,8.0,7.0,24.2,1.8,Active/High-Intensity Usage
74,22,Female,8.3,2.7,1.2,1.0,2.5,4.1,3.9,2.3,0.9,7.2,3.0,1.4,7,2.0,Rural,55.0,False,True,191.2,10.0,10.0,12.1,3.9000000000000004,Passive Usage
75,61,Female,4.8,1.3,2.3,0.0,2.2,3.7,3.1,1.8,1.2,7.0,5.0,2.8,6,0.8,Suburban,60.0,False,False,116.9,10.0,5.0,20.6,3.5999999999999996,Passive Usage
76,49,Female,5.5,1.8,1.1,0.0,3.4,3.2,4.0,2.5,0.9,7.1,4.0,4.3,5,4.0,Rural,72.0,False,False,158.1,12.0,6.0,17.7,2.9000000000000004,Passive Usage
77,28,Male,6.9,2.0,2.4,1.3,1.7,1.4,2.1,3.5,2.2,7.4,3.0,8.6,2,4.9,Urban,75.0,True,True,112.6,5.0,3.0,21.3,4.4,Passive Usage
78,31,Female,5.7,3.6,0.0,0.0,2.9,3.9,3.6,1.8,1.6,7.3,4.0,3.4,7,3.8,Rural,59.0,False,True,60.2,11.0,13.0,23.5,3.6,Passive Usage
79,50,Female,2.7,1.1,0.0,1.0,1.5,0.9,1.2,3.1,2.6,8.4,4.0,8.8,1,6.0,Rural,82.0,True,True,149.4,3.0,1.0,30.0,1.1,Passive Usage
80,64,Male,3.5,2.8,0.0,0.7,1.3,2.4,3.2,0.9,1.2,8.2,4.0,7.0,4,2.8,Suburban,71.0,False,False,78.5,6.0,3.0,13.6,2.8,Active/High-Intensity Usage
81,54,Female,3.9,0.9,0.2,1.4,2.1,1.6,2.2,2.7,2.3,7.4,5.0,8.0,2,3.5,Rural,81.0,True,True,48.7,1.0,2.0,34.6,1.1,Active/High-Intensity Usage
82,18,Male,8.2,0.9,3.5,0.9,2.0,4.5,4.0,0.6,1.1,7.0,3.0,1.0,10,0.0,Suburban,36.0,False,True,148.1,18.0,12.0,13.6,4.4,Balanced
83,16,Male,5.7,2.0,1.5,0.6,0.8,4.3,4.0,1.6,1.0,6.8,4.0,3.3,8,2.9,Urban,55.0,False,True,175.8,13.0,9.0,20.0,3.5,Passive Usage
84,20,Female,5.6,2.0,0.7,1.8,0.6,4.5,3.9,0.8,1.7,7.2,3.0,1.0,10,0.8,Urban,53.0,True,True,230.2,18.0,13.0,5.1,2.7,Active/High-Intensity Usage
85,68,Male,4.1,0.2,2.4,1.1,1.5,2.6,3.4,1.7,2.7,7.9,4.0,5.3,4,3.1,Urban,82.0,False,True,155.6,8.0,3.0,27.7,2.6,Active/High-Intensity Usage
86,56,Male,5.3,3.0,2.5,0.9,0.0,4.5,3.9,1.9,1.2,7.1,3.0,1.0,9,0.0,Rural,49.0,False,False,249.5,18.0,16.0,15.2,5.5,Passive Usage
87,18,Female,2.6,0.2,0.2,0.2,1.1,4.1,3.8,1.7,1.6,7.5,4.0,3.0,7,0.9,Suburban,59.0,True,False,207.4,12.0,9.0,10.9,0.4,Passive Usage
88,68,Female,5.5,1.9,4.2,0.0,0.4,4.0,3.9,1.1,1.3,6.7,5.0,5.4,6,1.0,Urban,63.0,False,False,184.4,8.0,4.0,17.8,6.1,Active/High-Intensity Usage
89,43,Male,5.5,3.2,1.8,0.4,0.8,1.2,2.7,2.6,1.7,7.0,5.0,8.4,2,4.1,Urban,87.0,False,True,171.8,1.0,4.0,24.1,5.0,Active/High-Intensity Usage
90,32,Male,6.0,4.0,1.9,0.0,0.6,4.0,3.9,1.4,0.4,7.6,4.0,4.4,6,4.8,Rural,64.0,False,False,77.2,5.0,2.0,11.0,5.9,Passive Usage
91,40,Male,5.1,1.7,2.0,0.4,2.2,2.2,3.5,2.5,1.9,7.2,4.0,8.0,3,4.9,Urban,82.0,True,True,115.3,5.0,8.0,35.6,3.7,Active/High-Intensity Usage
92,58,Female,4.5,0.7,2.0,1.1,1.8,2.2,2.4,1.9,1.7,6.8,4.0,8.6,3,3.7,Suburban,81.0,True,False,249.4,3.0,7.0,29.7,2.7,Balanced
93,48,Male,5.5,3.2,0.8,1.2,1.5,3.9,3.8,1.9,0.7,7.4,4.0,3.5,7,1.0,Suburban,64.0,False,False,202.4,9.0,13.0,9.9,4.0,Passive Usage
94,24,Male,8.2,2.8,3.8,0.4,1.0,4.5,3.8,1.0,0.5,7.0,3.0,1.0,10,0.0,Urban,45.0,False,False,92.6,17.0,12.0,10.6,6.6,Passive Usage
95,50,Female,6.2,1.6,1.2,2.4,2.4,4.5,4.2,1.8,1.8,7.8,5.0,2.0,8,2.3,Urban,61.0,True,True,138.3,14.0,14.0,14.3,2.8,Passive Usage
96,28,Female,7.8,1.4,2.6,1.4,2.3,4.5,4.1,0.8,1.8,6.9,3.0,1.4,9,0.0,Urban,56.0,False,False,171.8,14.0,13.0,11.9,4.0,Active/High-Intensity Usage
97,45,Male,3.6,1.4,1.0,0.6,1.3,2.1,3.0,1.9,2.3,7.1,4.0,8.0,3,2.5,Urban,76.0,False,True,72.5,5.0,7.0,24.0,2.4,Active/High-Intensity Usage
98,62,Female,5.4,1.7,0.8,1.3,2.8,4.5,4.1,1.8,0.7,7.8,4.0,1.5,8,0.0,Urban,45.0,True,False,189.0,5.0,13.0,7.5,2.5,Passive Usage
99,29,Female,6.9,2.3,3.6,0.3,1.2,4.1,4.2,1.4,1.3,6.7,3.0,3.0,7,6.7,Rural,65.0,True,True,169.7,8.0,6.0,18.5,5.9,Balanced
100,22,Male,6.0,1.5,1.4,0.8,1.6,3.6,3.7,2.0,1.2,6.6,3.0,2.4,7,4.7,Urban,58.0,True,True,144.7,14.0,2.0,21.6,2.9,Passive Usage
101,28,Male,4.0,1.6,1.5,0.4,0.8,1.8,2.2,2.5,2.7,7.0,5.0,8.7,2,5.1,Rural,84.0,True,False,157.8,5.0,3.0,33.7,3.1,Active/High-Intensity Usage
102,37,Female,4.7,2.6,1.8,0.0,1.0,4.3,3.8,2.2,0.9,7.1,4.0,2.9,7,2.0,Urban,61.0,False,True,128.2,15.0,12.0,11.5,4.4,Passive Usage
103,74,Male,5.6,0.7,4.4,0.9,0.8,1.4,2.4,2.0,1.8,6.4,5.0,8.4,2,5.8,Rural,78.0,False,False,247.0,2.0,5.0,22.6,5.1000000000000005,Active/High-Intensity Usage
104,71,Female,6.8,1.7,3.9,0.6,2.1,2.1,3.1,2.7,2.0,6.3,4.0,5.0,3,3.5,Rural,78.0,True,False,201.3,4.0,2.0,30.8,5.6,Active/High-Intensity Usage
105,54,Male,4.8,0.5,2.9,0.6,1.8,4.5,4.0,1.2,1.0,7.8,4.0,1.0,9,0.2,Urban,51.0,False,False,153.8,15.0,10.0,13.8,3.4,Passive Usage
106,35,Male,6.5,2.1,4.6,0.6,0.3,3.6,3.7,1.5,1.5,7.1,5.0,5.8,5,3.5,Urban,70.0,False,True,171.2,8.0,4.0,25.5,6.699999999999999,Active/High-Intensity Usage
107,30,Male,2.6,0.3,0.5,0.1,2.0,1.5,2.5,2.5,2.0,7.6,5.0,7.2,2,3.8,Urban,79.0,False,False,22.8,4.0,4.0,34.4,0.8,Active/High-Intensity Usage
108,59,Male,8.7,2.8,2.2,1.6,3.2,3.8,3.9,1.8,1.1,6.8,4.0,3.0,6,4.3,Suburban,66.0,True,True,125.2,9.0,7.0,25.6,5.0,Passive Usage
109,32,Male,3.3,0.8,1.6,0.7,0.7,1.1,1.2,1.8,2.9,7.9,4.0,8.1,1,6.1,Urban,85.0,False,True,119.8,0.0,0.0,17.4,2.4000000000000004,Active/High-Intensity Usage
110,61,Male,1.0,0.4,0.0,0.4,0.7,1.0,1.4,2.5,2.7,7.5,5.0,9.2,1,6.1,Urban,89.0,True,True,13.8,1.0,2.0,19.8,0.4,Active/High-Intensity Usage
111,67,Female,4.2,1.7,2.0,0.0,1.4,3.3,3.6,0.8,1.7,7.7,5.0,4.5,5,2.3,Urban,68.0,False,True,183.5,3.0,7.0,29.4,3.7,Active/High-Intensity Usage
112,38,Other,7.7,3.5,1.0,1.4,2.8,4.5,4.0,0.8,0.5,7.1,4.0,1.0,10,1.2,Urban,52.0,False,True,183.8,14.0,10.0,14.0,4.5,Passive Usage
113,40,Female,7.0,2.6,3.2,1.2,1.0,4.5,4.4,0.8,1.5,6.6,3.0,1.0,10,0.2,Urban,51.0,False,True,84.2,18.0,15.0,10.4,5.800000000000001,Active/High-Intensity Usage
114,39,Female,3.9,0.3,1.1,0.6,3.2,2.4,2.8,2.4,1.7,7.8,5.0,7.7,3,8.4,Urban,90.0,False,True,47.2,1.0,1.0,26.5,1.4000000000000001,Passive Usage
115,74,Male,1.2,0.8,1.0,0.0,0.3,0.8,1.3,3.1,2.9,7.9,5.0,8.6,1,5.0,Suburban,80.0,False,True,118.9,0.0,0.0,18.9,1.8,Active/High-Intensity Usage
116,74,Other,7.2,1.6,3.2,1.6,1.6,3.6,3.8,1.4,1.3,6.6,4.0,3.7,6,2.8,Suburban,60.0,False,True,82.5,8.0,12.0,14.1,4.800000000000001,Active/High-Intensity Usage
117,74,Male,4.9,4.0,1.4,0.4,0.0,4.5,4.2,0.9,0.6,6.9,4.0,1.2,8,0.0,Urban,48.0,False,True,141.7,13.0,14.0,12.3,5.4,Passive Usage
118,59,Female,3.6,1.2,2.8,0.2,0.5,1.1,1.8,2.6,2.3,7.8,5.0,9.4,1,3.9,Urban,81.0,True,False,116.5,1.0,4.0,23.3,4.0,Active/High-Intensity Usage
119,55,Other,4.1,1.2,2.0,0.6,1.2,3.0,3.6,1.0,1.5,8.0,4.0,7.8,4,1.9,Urban,73.0,False,False,108.2,8.0,9.0,27.8,3.2,Active/High-Intensity Usage
120,43,Female,7.0,3.4,2.0,0.8,1.7,3.2,3.7,0.7,1.6,7.3,4.0,5.6,5,2.0,Urban,57.0,False,False,109.4,9.0,6.0,29.0,5.4,Active/High-Intensity Usage
121,29,Other,6.4,2.2,1.2,0.5,2.6,4.5,4.1,0.6,1.5,7.7,3.0,1.0,10,0.1,Suburban,42.0,False,True,128.6,9.0,13.0,12.4,3.4000000000000004,Active/High-Intensity Usage
122,59,Female,4.7,2.9,2.1,0.0,0.7,2.1,2.9,1.4,2.4,8.0,5.0,8.0,3,4.3,Urban,73.0,False,True,162.9,6.0,7.0,32.8,5.0,Active/High-Intensity Usage
123,15,Male,5.8,1.3,1.4,0.7,1.8,4.5,4.1,0.4,1.3,7.2,4.0,1.0,10,0.0,Suburban,48.0,False,False,67.0,17.0,16.0,11.9,2.7,Active/High-Intensity Usage
124,39,Male,2.8,1.9,0.6,1.2,0.1,0.9,1.5,2.8,3.0,7.7,5.0,8.8,1,4.0,Urban,88.0,False,True,86.9,1.0,0.0,16.5,2.5,Active/High-Intensity Usage
125,21,Female,7.5,3.2,1.4,0.1,2.4,4.5,4.3,1.0,0.9,7.4,3.0,1.0,9,1.3,Urban,46.0,False,False,120.9,12.0,13.0,12.5,4.6,Passive Usage
126,23,Male,9.4,1.9,2.9,1.5,2.7,4.5,3.9,1.6,0.7,6.2,3.0,1.5,9,1.5,Suburban,56.0,True,False,192.7,18.0,12.0,10.7,4.8,Passive Usage
127,38,Female,7.6,3.0,2.1,1.1,2.4,4.5,4.1,1.9,1.1,7.5,4.0,2.0,8,0.9,Suburban,64.0,False,False,103.9,15.0,14.0,15.4,5.1,Passive Usage
128,15,Other,9.1,2.3,2.3,0.9,2.4,4.5,3.7,0.9,1.9,7.6,3.0,1.0,10,0.8,Suburban,52.0,True,False,242.6,17.0,11.0,12.0,4.6,Active/High-Intensity Usage
129,58,Male,3.1,1.1,1.5,0.0,1.3,2.1,2.9,1.9,2.0,7.3,3.0,7.2,3,5.7,Suburban,73.0,True,False,159.9,2.0,2.0,35.1,2.6,Active/High-Intensity Usage
